ticker,total_contribution,avg_weight,max_weight,folds,local_name,category,fundFamily,beta3Year,totalAssets,summary
CORN,-0.1533526139507077,0.3647775458502259,0.5261375904449278,7,Teucrium Corn Fund ETV,Commodities Focused,Teucrium,0.34,263009776.0,"The Benchmark is a weighted average of the closing settlement prices for three futures contracts for corn that are traded on the Chicago Board of Trade. Under normal market conditions, it is expected that 100% of the fund’s assets will be invested in benchmark component futures contracts and in cash"
CGW,-0.106307916194575,0.24213770429222314,0.7888642864634183,11,Invesco S&P Global Water Index ETF,Natural Resources,Invesco,0.9,1025408320.0,"The fund generally will invest at least 90% of its total assets in securities that comprise the underlying index, as well as ADRs and GDRs that represent securities in the underlying index. Strictly in accordance with its guidelines and mandated procedures the index provider compiles, maintains, and"
CNXT,-0.09157399577670311,0.2315349730948674,0.2523168810022265,3,VanEck ChiNext Innovators ETF,Greater China Region,VanEck,0.88,75818328.0,The fund normally invests at least 80% of its total assets in securities that comprise the fund's benchmark index. The index is a free-float adjusted index intended to track the performance of the 100 largest and most liquid stocks listed and trading on the ChiNext Market of the Shenzhen Stock Excha
CANE,-0.0471521881431273,0.2913127350703578,0.5363266224910975,5,Teucrium Sugar Fund ETV,Commodities Focused,Teucrium,0.47,58418228.0,"The fund seeks to achieve its investment objective by investing under normal market conditions in Benchmark Component Futures Contracts. Under normal market conditions, the manager expects that 100% of the fund’s assets will be used to trade Sugar Futures Contracts and invest in cash and cash equiva"
CARZ,-0.0240981385603454,0.11014264205079356,0.1918696604273393,3,First Trust S-Network Future Vehicles & Technology ETF,Technology,First Trust,1.66,51304700.0,"The fund will normally invest at least 90% of its net assets in the common stocks and depositary receipts that comprise the index. To be eligible for inclusion in the index, a company must be listed on a major recognized stock exchange and engaged in one of the following sectors: electric and autono"
COPX,-0.006947408215872899,0.08340438078389613,0.2205655667268856,3,Global X Copper Miners ETF,Natural Resources,Global X Funds,1.49,7406607872.0,"The fund invests at least 80% of its total assets in the securities of the underlying index and in American Depositary Receipts (""ADRs"") and Global Depositary Receipts (""GDRs"") based on the securities in the underlying index. The underlying index is designed to measure broad-based equity market perf"
CFO,-0.005758855574136301,0.2062542902015744,0.2676036875921838,15,VictoryShares US 500 Enhanced Volatility Wtd ETF,Large Blend,Victory Capital Management Inc.,0.7,408155264.0,"The fund seeks to achieve its investment objective by investing, under normal market conditions, at least 80% of its assets directly or indirectly in the securities included in the Nasdaq Victory U.S. Large Cap 500 Long/Cash Volatility Weighted Index, an unmanaged, volatility weighted index maintain"
COMT,-0.001043652473393299,0.16081168607011748,0.257092564261548,5,iShares GSCI Commodity Dynamic Roll Strategy ETF,Commodities Broad Basket,iShares,1.14,1156967040.0,"The index measures the performance of futures contracts. In seeking to achieve its investment objective, the fund may invest in a combination of exchange-traded commodity futures contracts, exchange-traded options on commodity-related futures contracts and exchange-cleared commodity related swaps (t"
CBON,0.0007475061441688,0.247507313206165,0.2499999999999999,1,VanEck China Bond ETF,,,,,
BSV,0.0028273633753228,0.2317561559059571,0.2324841552465856,1,Vanguard Short-Term Bond ETF,,,,,
