ticker,longName,category,fundFamily,quoteType,totalAssets,yield,beta3Year,summary
CORN,Teucrium Corn Fund,Commodities Focused,Teucrium,ETF,263009776,0.0,0.34,"The Benchmark is a weighted average of the closing settlement prices for three futures contracts for corn that are traded on the Chicago Board of Trade. Under normal market conditions, it is expected that 100% of the fund’s assets will be invested in benchmark component futures contracts and in cash"
CGW,Invesco S&P Global Water Index ETF,Natural Resources,Invesco,ETF,1025408320,0.0153,0.9,"The fund generally will invest at least 90% of its total assets in securities that comprise the underlying index, as well as ADRs and GDRs that represent securities in the underlying index. Strictly in accordance with its guidelines and mandated procedures the index provider compiles, maintains, and"
CNXT,VanEck ChiNext Innovators ETF,Greater China Region,VanEck,ETF,75818328,0.0015,0.88,The fund normally invests at least 80% of its total assets in securities that comprise the fund's benchmark index. The index is a free-float adjusted index intended to track the performance of the 100 largest and most liquid stocks listed and trading on the ChiNext Market of the Shenzhen Stock Excha
CANE,Teucrium Sugar Fund,Commodities Focused,Teucrium,ETF,58418228,0.0,0.47,"The fund seeks to achieve its investment objective by investing under normal market conditions in Benchmark Component Futures Contracts. Under normal market conditions, the manager expects that 100% of the fund’s assets will be used to trade Sugar Futures Contracts and invest in cash and cash equiva"
CARZ,First Trust S-Network Future Vehicles & Technology ETF,Technology,First Trust,ETF,51304700,0.0162,1.66,"The fund will normally invest at least 90% of its net assets in the common stocks and depositary receipts that comprise the index. To be eligible for inclusion in the index, a company must be listed on a major recognized stock exchange and engaged in one of the following sectors: electric and autono"
COPX,Global X Copper Miners ETF,Natural Resources,Global X Funds,ETF,7406607872,0.024300002,1.49,"The fund invests at least 80% of its total assets in the securities of the underlying index and in American Depositary Receipts (""ADRs"") and Global Depositary Receipts (""GDRs"") based on the securities in the underlying index. The underlying index is designed to measure broad-based equity market perf"
CFO,VictoryShares US 500 Enhanced Volatility Wtd ETF,Large Blend,Victory Capital Management Inc.,ETF,408155264,0.0125,0.7,"The fund seeks to achieve its investment objective by investing, under normal market conditions, at least 80% of its assets directly or indirectly in the securities included in the Nasdaq Victory U.S. Large Cap 500 Long/Cash Volatility Weighted Index, an unmanaged, volatility weighted index maintain"
CDC,VictoryShares US EQ Income Enhanced Volatility Wtd ETF,Large Value,Victory Capital Management Inc.,ETF,736552640,0.0308,0.38,"The fund seeks to achieve its investment objective by investing, under normal market conditions, at least 80% of its assets directly or indirectly in the securities included in the Nasdaq Victory U.S. Large Cap 100 High Dividend Long/Cash Volatility Weighted Index. The index identifies the 100 highe"
CFA,VictoryShares US 500 Volatility Wtd ETF,Large Blend,Victory Capital Management Inc.,ETF,532312960,0.0125,0.84,"The fund seeks to achieve its investment objective by investing, under normal market conditions, at least 80% of its assets directly or indirectly in the securities included in the Nasdaq Victory U.S. Large Cap 500 Volatility Weighted Index, an unmanaged, volatility weighted index maintained exclusi"
COMT,iShares GSCI Commodity Dynamic Roll Strategy ETF,Commodities Broad Basket,iShares,ETF,1156967040,0.0535,1.14,"The index measures the performance of futures contracts. In seeking to achieve its investment objective, the fund may invest in a combination of exchange-traded commodity futures contracts, exchange-traded options on commodity-related futures contracts and exchange-cleared commodity related swaps (t"
