paper_requirement,current_implementation,gap,severity,why_it_matters,recommended_fix,artifact,validation
"Universe historically observable/PIT","Many runs use current public ETF universe; SEC PIT mode exists but not final source","Historical conclusions remain contaminated by current-universe/survivorship bias",critical,"Performance can be inflated or distorted and cannot be thesis-grade","Use SEC-only public PIT immediately; Norgate+SEC if budget approved","universe_coverage_report.csv; membership_audit.csv; data_quality_verdict.json","Compare static_current vs static_start vs point_in_time"
"ELECTRE Tri as selection stage, not allocation","Implemented as selection followed by MaxSharpe allocation","Mostly aligned, but reporting can conflate ELECTRE failure with optimizer failure",high,"Bad MaxSharpe output may falsely indict ELECTRE","Report selection and allocation separately; run ablations","ablation_strategy_comparison.csv","ELECTRE+EW vs ELECTRE+MinVar vs ELECTRE+MaxSharpe"
"Three ordered categories via profiles","Two profiles create below/between/above categories","Aligned structurally",low,"Categories enable sorting rather than ranking","Keep, but make labels and profile direction thesis-readable","category_assignment.csv","Manual examples and unit tests"
"Pessimistic and optimistic assignment compared","Code supports both, production often uses one selected mode","Missing divergence/incomparability diagnostics",high,"Emamat treats divergence as evidence of insufficient information","Run both each fold and export divergence","pessimistic_optimistic_divergence.csv","Divergence rate by fold/category"
"Overlap/consensus selection in Xidonas","Current selection generally uses one mode; fallback top credibility may bypass strict category selection","Consensus selection not implemented as official mode",medium,"Consensus improves conservatism and interpretability","Add mode: select only top category in both pessimistic and optimistic assignments","consensus_selection.csv","Compare F index and OOS performance"
"Veto sensitivity","Code supports with/sin veto; recent candidate disables veto","Mostly aligned with Emamat finding, but needs formal evidence",medium,"Veto can over-exclude profitable assets","Pre-register veto/no-veto comparison","electre_veto_sensitivity.csv","Paired fold metrics and classification F"
"Weights elicited by experts/BWM/resistance grid","Weights are manual: CAGR .35, vol .25, Sharpe .25, Sortino .15","Academic weakness",critical,"Manual weights look arbitrary and can be accused of tuning","Implement BWM and keep manual as baseline","bwm_weights.json; weight_sensitivity.csv","Consistency ratio and sensitivity performance"
"Profiles/thresholds expert-defined or calibrated","Profiles are manual: minimum/preferred; q/p/v manual","Academic weakness",critical,"Profiles drive classification and can create overfitting or arbitrary exclusions","Calibrate profiles from training-only quantiles and/or BWM/expert survey","profile_calibration_report.csv","Train-only calibration; no full-sample leakage"
"Criteria aligned to asset type","Current criteria are OHLCV performance metrics only","Incomplete ETF criteria",high,"ETFs need expense ratio, AUM, tracking error, beta, liquidity, fund age and category controls","Add ETF-specific criteria as data becomes available","criteria_availability_matrix.csv","Ablation per criterion and missingness report"
"Sector/peer comparability","Xidonas classifies by industry; current ETF model uses global criteria with separate risk bucket exposure cap","Partial adaptation only",medium,"Comparing bond ETFs, commodity ETFs and equity ETFs on same profiles may be incoherent","Use profiles by ETF bucket or bucket-adjusted z-scores","bucket_profile_report.csv","Performance and category stability by bucket"
"FlowSort as comparator","Not implemented","Missing high-value methodological comparator",high,"Emamat finds FlowSort can outperform ELECTRE in stock selection","Implement FlowSort backend with V-shape and net/leaving flows","flowsort_selection.csv","Compare classification F and portfolio OOS"
"Classification validation with future returns","Current validation focuses on portfolio performance","Missing classification-specific validation",high,"Cannot tell whether sorting predicts future quality","Add F index and forward return by category","classification_effectiveness.csv; category_forward_returns.csv","Top category should beat lower categories OOS"
"Temporal stability of selections","Some recategorization controls exist; not paper-style stability","Incomplete",medium,"Unstable categories imply weak model and high turnover","Export Jaccard, transitions, selection persistence","selection_jaccard_by_fold.csv; category_transition_matrix.csv","Stability thresholds and turnover relation"
"Sensitivity analysis over weights/profiles/thresholds/lambda","Some electre_sensitivity exists for lambda/weights","Incomplete relative to Emamat",medium,"Parameter definition is central to paper conclusions","Extend to profiles, p/q/v, veto, assignment mode","electre_parameter_sensitivity.csv","Worst/best cases and robustness bands"
"Asset allocation model declared separately","MaxSharpe, MinVar, EqualWeight exist","Aligned, but MaxSharpe likely unstable",medium,"Selection may be fine but allocation creates drawdown","Move MaxSharpe from default to one allocation option; test robust alternatives","allocation_diagnostics.csv","Weight concentration, turnover, drawdown attribution"
